Activity Name,Sub Activity Name,Org / Business Unit Name,Number of Days With Emissions,Month,Financial Year,Facility Name,Type,Emission Start Date,Emission End Date,Input Quantity,Input Unit,Number of Days in Emissions Period,Total days in a month,gas_type,fuel_type,waste_type,waste_treatment_type,waste_category
Water Use,Water Use,Brazil,30,9,"2,023",AYA Systemiq Share,Office,01/09/2023,30/09/2023,196.38,m3,30,30,,,,,
Water Use,Water Use,Brazil,31,10,"2,023",AYA Systemiq Share,Office,01/10/2023,31/10/2023,202.92,m3,31,31,,,,,
Water Use,Water Use,Brazil,30,11,"2,023",AYA Systemiq Share,Office,01/11/2023,30/11/2023,196.38,m3,30,30,,,,,
Water Use,Water Use,Brazil,31,12,"2,023",AYA Systemiq Share,Office,01/12/2023,31/12/2023,202.92,m3,31,31,,,,,
Water Use,Water Use,France,31,12,"2,023",BOPE Systemiq Share,Office,01/12/2023,31/12/2023,2.06,m3,31,31,,,,,
Water Use,Water Use,Indonesia,31,1,"2,022",Canggu Square Systemiq Share,Office,01/01/2022,31/01/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Indonesia,28,2,"2,022",Canggu Square Systemiq Share,Office,01/02/2022,28/02/2022,0.805479452055,m3,28,28,,,,,
Water Use,Water Use,Indonesia,31,3,"2,022",Canggu Square Systemiq Share,Office,01/03/2022,31/03/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,4,"2,022",Canggu Square Systemiq Share,Office,01/04/2022,30/04/2022,0.8630136986301369042,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,5,"2,022",Canggu Square Systemiq Share,Office,01/05/2022,31/05/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,6,"2,022",Canggu Square Systemiq Share,Office,01/06/2022,30/06/2022,0.8630136986301369042,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,7,"2,022",Canggu Square Systemiq Share,Office,01/07/2022,31/07/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Indonesia,31,8,"2,022",Canggu Square Systemiq Share,Office,01/08/2022,31/08/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,9,"2,022",Canggu Square Systemiq Share,Office,01/09/2022,30/09/2022,0.8630136986301369042,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,10,"2,022",Canggu Square Systemiq Share,Office,01/10/2022,31/10/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Indonesia,30,11,"2,022",Canggu Square Systemiq Share,Office,01/11/2022,30/11/2022,0.8630136986301369042,m3,30,30,,,,,
Water Use,Water Use,Indonesia,31,12,"2,022",Canggu Square Systemiq Share,Office,01/12/2022,31/12/2022,0.8917808219178081,m3,31,31,,,,,
Water Use,Water Use,Brazil,31,1,"2,022",Civico Systemiq Share,Office,01/01/2022,31/01/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,Brazil,28,2,"2,022",Civico Systemiq Share,Office,01/02/2022,28/02/2022,3.22,m3,28,28,,,,,
Water Use,Water Use,Brazil,31,3,"2,022",Civico Systemiq Share,Office,01/03/2022,31/03/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,Brazil,30,4,"2,022",Civico Systemiq Share,Office,01/04/2022,30/04/2022,3.45,m3,30,30,,,,,
Water Use,Water Use,Brazil,31,5,"2,022",Civico Systemiq Share,Office,01/05/2022,31/05/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,Brazil,30,6,"2,022",Civico Systemiq Share,Office,01/06/2022,30/06/2022,3.45,m3,30,30,,,,,
Water Use,Water Use,Brazil,31,7,"2,022",Civico Systemiq Share,Office,01/07/2022,31/07/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,Brazil,31,8,"2,022",Civico Systemiq Share,Office,01/08/2022,31/08/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,Brazil,30,9,"2,022",Civico Systemiq Share,Office,01/09/2022,30/09/2022,3.45,m3,30,30,,,,,
Water Use,Water Use,Brazil,31,10,"2,022",Civico Systemiq Share,Office,01/10/2022,31/10/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,Brazil,30,11,"2,022",Civico Systemiq Share,Office,01/11/2022,30/11/2022,3.45,m3,30,30,,,,,
Water Use,Water Use,Brazil,31,12,"2,022",Civico Systemiq Share,Office,01/12/2022,31/12/2022,3.57,m3,31,31,,,,,
Water Use,Water Use,France,31,1,"2,022",Deskopolitan Systemiq Share,Office,01/01/2022,31/01/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,28,2,"2,022",Deskopolitan Systemiq Share,Office,01/02/2022,28/02/2022,1.13,m3,28,28,,,,,
Water Use,Water Use,France,31,3,"2,022",Deskopolitan Systemiq Share,Office,01/03/2022,31/03/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,30,4,"2,022",Deskopolitan Systemiq Share,Office,01/04/2022,30/04/2022,1.21,m3,30,30,,,,,
Water Use,Water Use,France,31,5,"2,022",Deskopolitan Systemiq Share,Office,01/05/2022,31/05/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,30,6,"2,022",Deskopolitan Systemiq Share,Office,01/06/2022,30/06/2022,1.21,m3,30,30,,,,,
Water Use,Water Use,France,31,7,"2,022",Deskopolitan Systemiq Share,Office,01/07/2022,31/07/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,31,8,"2,022",Deskopolitan Systemiq Share,Office,01/08/2022,31/08/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,30,9,"2,022",Deskopolitan Systemiq Share,Office,01/09/2022,30/09/2022,1.21,m3,30,30,,,,,
Water Use,Water Use,France,31,10,"2,022",Deskopolitan Systemiq Share,Office,01/10/2022,31/10/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,30,11,"2,022",Deskopolitan Systemiq Share,Office,01/11/2022,30/11/2022,1.21,m3,30,30,,,,,
Water Use,Water Use,France,31,12,"2,022",Deskopolitan Systemiq Share,Office,01/12/2022,31/12/2022,1.25,m3,31,31,,,,,
Water Use,Water Use,France,31,1,"2,023",Deskopolitan Systemiq Share,Office,01/01/2023,31/01/2023,0.8836905137094,m3,31,31,,,,,
Water Use,Water Use,France,28,2,"2,023",Deskopolitan Systemiq Share,Office,01/02/2023,28/02/2023,0.79817207689883396404,m3,28,28,,,,,
Water Use,Water Use,France,31,3,"2,023",Deskopolitan Systemiq Share,Office,01/03/2023,31/03/2023,0.8836905137094,m3,31,31,,,,,
Water Use,Water Use,France,30,4,"2,023",Deskopolitan Systemiq Share,Office,01/04/2023,30/04/2023,0.8551843681059,m3,30,30,,,,,
Water Use,Water Use,France,31,5,"2,023",Deskopolitan Systemiq Share,Office,01/05/2023,31/05/2023,0.8836905137094,m3,31,31,,,,,
Water Use,Water Use,France,30,6,"2,023",Deskopolitan Systemiq Share,Office,01/06/2023,30/06/2023,0.8551843681059,m3,30,30,,,,,
Water Use,Water Use,France,31,7,"2,023",Deskopolitan Systemiq Share,Office,01/07/2023,31/07/2023,0.8836905137094,m3,31,31,,,,,
Water Use,Water Use,France,31,8,"2,023",Deskopolitan Systemiq Share,Office,01/08/2023,31/08/2023,0.8836905137094,m3,31,31,,,,,
Water Use,Water Use,France,30,9,"2,023",Deskopolitan Systemiq Share,Office,01/09/2023,30/09/2023,0.8551843681059,m3,30,30,,,,,
Water Use,Water Use,France,31,10,"2,023",Deskopolitan Systemiq Share,Office,01/10/2023,31/10/2023,0.8836905137094,m3,31,31,,,,,
Water Use,Water Use,France,30,11,"2,023",Deskopolitan Systemiq Share,Office,01/11/2023,30/11/2023,0.8551843681059,m3,30,30,,,,,
