BU Name,Facility Name,Type,Is Open,Opening Date,Closed/End of Emissions Date,Capacity (m2),FTE,Month,Year
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,11,"2,023"
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,7,"2,023"
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,12,"2,023"
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,8,"2,023"
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,6,"2,023"
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,9,"2,023"
Brazil,AYA Systemiq Share,Office,true,01/06/2023,31/12/2023,80.5,25,10,"2,023"
Brazil,AYA Systemiq Share,Office,,31/05/2023,01/06/2023,,,5,"2,023"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,8,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,9,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,10,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,12,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,1,"2,023"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,2,"2,023"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,3,"2,023"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,4,"2,023"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,5,"2,023"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,11,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,1,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,2,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,3,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,4,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,5,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,6,"2,022"
Brazil,Civico Systemiq Share,Office,true,01/01/2022,31/05/2023,20,0,7,"2,022"
Brazil,Civico Systemiq Share,Office,true,31/05/2023,31/12/2023,20,0,5,"2,023"
Brazil,Civico Systemiq Share,Office,true,31/05/2023,31/12/2023,20,0,6,"2,023"
Brazil,Civico Systemiq Share,Office,true,31/05/2023,31/12/2023,20,0,7,"2,023"
Brazil,Civico Systemiq Share,Office,true,31/05/2023,31/12/2023,20,0,8,"2,023"
