Activity,Sub Activity,BU Name,Facility Name,Type,Emission Year,Emission Month,Emission Quantity,Input Quantity,Input Unit,tag,tag_type
Water Use,Water Use,Brazil,AYA Systemiq Share,Office,"2,023",9,34.7,196.38,m3,,
Water Use,Water Use,Brazil,AYA Systemiq Share,Office,"2,023",10,35.85,202.92,m3,,
Water Use,Water Use,Brazil,AYA Systemiq Share,Office,"2,023",11,34.7,196.38,m3,,
Water Use,Water Use,Brazil,AYA Systemiq Share,Office,"2,023",12,35.85,202.92,m3,,
Water Use,Water Use,France,BOPE Systemiq Share,Office,"2,023",12,0.36315770909090910012,2.06,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",1,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",2,0.120016,0.805479452055,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",3,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",4,0.128589041096,0.8630136986301369042,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",5,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",6,0.128589041096,0.8630136986301369042,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",7,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",8,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",9,0.128589041096,0.8630136986301369042,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",10,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",11,0.128589041096,0.8630136986301369042,m3,,
Water Use,Water Use,Indonesia,Canggu Square Systemiq Share,Office,"2,022",12,0.13,0.8917808219178081,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",1,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",2,0.48018005479452100008,3.22,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",3,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",4,0.5144786301369860001,3.45,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",5,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",6,0.5144786301369860001,3.45,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",7,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",8,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",9,0.5144786301369860001,3.45,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",10,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",11,0.5144786301369860001,3.45,m3,,
Water Use,Water Use,Brazil,Civico Systemiq Share,Office,"2,022",12,0.53162791780821900007,3.57,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",1,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",2,0.16802301369863000012,1.13,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",3,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",4,0.180025,1.21,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",5,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",6,0.180025,1.21,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",7,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",8,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",9,0.180025,1.21,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",10,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",11,0.180025,1.21,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,022",12,0.18602547945205500011,1.25,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",1,0.15613043996218090014,0.8836905137094,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",2,0.141021043,0.79817207689883396404,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",3,0.15613043996218090014,0.8836905137094,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",4,0.1510939741569492801,0.8551843681059,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",5,0.15613043996218090014,0.8836905137094,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",6,0.1510939741569492801,0.8551843681059,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",7,0.15613043996218090014,0.8836905137094,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",8,0.15613043996218090014,0.8836905137094,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",9,0.1510939741569492801,0.8551843681059,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",10,0.15613043996218090014,0.8836905137094,m3,,
Water Use,Water Use,France,Deskopolitan Systemiq Share,Office,"2,023",11,0.1510939741569492801,0.8551843681059,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",1,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",2,0.72032723287671200012,4.83,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",3,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",4,0.771779178082,5.18,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",5,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",6,0.771779178082,5.18,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",7,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",8,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",9,0.771779178082,5.18,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",10,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",11,0.771779178082,5.18,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,022",12,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",1,3.71,21,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",2,3.35,18.97,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",3,3.71,21,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",4,3.59,20.32,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",5,3.71,21,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",6,3.59,20.32,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",7,3.71,21,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",8,3.71,21,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",9,3.59,20.32,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",10,3.71,21,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",11,3.59,20.32,m3,,
Water Use,Water Use,Indonesia,Gran Rubina Systemiq Share,Office,"2,023",12,3.71,21,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",1,0.93022377483443700004,6.24,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",2,0.8402021192053,5.64,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",3,0.93022377483443700004,6.24,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",4,0.9002165562913910001,6.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",5,0.93022377483443700004,6.24,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",8,1.75,11.77,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",9,1.7,11.39,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",10,1.75,11.77,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",11,1.7,11.39,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,022",12,1.75,11.77,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",1,0.89087,5.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",2,0.8047,4.55,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",3,0.89087,5.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",4,0.8621299837860713001,4.88,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",5,0.89087,5.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",6,0.8621299837860713001,4.88,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",7,0.89087,5.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",8,0.89087,5.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",9,0.8621299837860713001,4.88,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",10,0.89087,5.04,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",11,0.8621299837860713001,4.88,m3,,
Water Use,Water Use,United Kingdom,High Holborn Systemiq Share,Office,"2,023",12,0.89087,5.04,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",3,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",4,0.771779178082,5.18,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",5,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",6,0.771779178082,5.18,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",7,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",8,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",9,0.771779178082,5.18,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",10,0.79750515068493200014,5.35,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",11,0.771779178082,5.18,m3,,
Water Use,Water Use,Germany,Mühldorfstraße Systemiq Share,Office,"2,022",12,0.79750515068493200014,5.35,m3,,
